"WA State Cancer Registry (WSCR) Web Application","https://fortress.wa.gov/wscr""Results generated:","May 30, 2023 11:26:55 AM Pacific Daylight Time""Cancer Site","Incidence Codes ICD-0-3""Prostate","C61.9, excluding histology codes 9140, 9050-9055, 9590-9992"
"Data Type","Cancer Site","Geography","Year","Age Group","Gender","Race","Average Annual Population","Average Annual Observations","Age-Adj. Rate per 100,000","95% CI""Incidence","Prostate","Adams","2014-2018","All","Male","All","9989","6","85.5","[57.8, 123.5]"
"Incidence","Prostate","Asotin","2014-2018","All","Male","All","10880","12","58.6","[44.2, 79.1]"
"Incidence","Prostate","Benton","2014-2018","All","Male","All","95936","104","90.2","[82.3, 98.7]"
"Incidence","Prostate","Chelan","2014-2018","All","Male","All","37927","64","112.1","[99.9, 126.0]"
"Incidence","Prostate","Clallam","2014-2018","All","Male","All","36642","81","110.8","[100.0, 123.1]"
"Incidence","Prostate","Clark","2014-2018","All","Male","All","227867","199","71.2","[66.7, 75.9]"
"Incidence","Prostate","Columbia","2014-2018","All","Male","All","2051","5","106.5","[67.4, 188.8]"
"Incidence","Prostate","Cowlitz","2014-2018","All","Male","All","51982","55","69.7","[61.5, 78.9]"
"Incidence","Prostate","Douglas","2014-2018","All","Male","All","20485","31","115.2","[97.3, 136.2]"
"Incidence","Prostate","Ferry","2014-2018","All","Male","All","4022","3","41.6","[23.1, 82.4]"
"Incidence","Prostate","Franklin","2014-2018","All","Male","All","45860","33","94.1","[79.6, 110.8]"
"Incidence","Prostate","Garfield","2014-2018","All","Male","All","1087","NR","NR","NR"
"Incidence","Prostate","Grant","2014-2018","All","Male","All","48386","51","96.1","[84.3, 109.2]"
"Incidence","Prostate","Grays Harbor","2014-2018","All","Male","All","37853","67","115.9","[103.5, 129.9]"
"Incidence","Prostate","Island","2014-2018","All","Male","All","40450","76","106.2","[95.4, 118.5]"
"Incidence","Prostate","Jefferson","2014-2018","All","Male","All","15454","48","121.5","[105.8, 142.5]"
"Incidence","Prostate","King","2014-2018","All","Male","All","1050883","1208","114.9","[111.9, 118.0]"
"Incidence","Prostate","Kitsap","2014-2018","All","Male","All","132340","232","120.2","[113.2, 127.7]"
"Incidence","Prostate","Kittitas","2014-2018","All","Male","All","22368","23","83.3","[68.6, 101.3]"
"Incidence","Prostate","Klickitat","2014-2018","All","Male","All","10821","21","106.9","[86.9, 132.6]"
"Incidence","Prostate","Lewis","2014-2018","All","Male","All","38737","58","96.6","[85.7, 109.1]"
"Incidence","Prostate","Lincoln","2014-2018","All","Male","All","5368","6","60.1","[39.9, 95.5]"
"Incidence","Prostate","Mason","2014-2018","All","Male","All","32377","58","106.9","[94.8, 120.8]"
"Incidence","Prostate","Okanogan","2014-2018","All","Male","All","21316","37","102.0","[87.3, 119.7]"
"Incidence","Prostate","Pacific","2014-2018","All","Male","All","10771","21","99.1","[79.9, 124.9]"
"Incidence","Prostate","Pend Oreille","2014-2018","All","Male","All","6785","8","59.1","[41.7, 87.9]"
"Incidence","Prostate","Pierce","2014-2018","All","Male","All","417294","464","98.0","[93.9, 102.3]"
"Incidence","Prostate","San Juan","2014-2018","All","Male","All","7960","20","104.5","[84.7, 140.1]"
"Incidence","Prostate","Skagit","2014-2018","All","Male","All","60857","79","87.1","[78.5, 96.6]"
"Incidence","Prostate","Skamania","2014-2018","All","Male","All","5837","7","62.7","[42.5, 97.8]"
"Incidence","Prostate","Snohomish","2014-2018","All","Male","All","387655","441","102.1","[97.7, 106.8]"
"Incidence","Prostate","Spokane","2014-2018","All","Male","All","245458","202","65.1","[61.1, 69.5]"
"Incidence","Prostate","Stevens","2014-2018","All","Male","All","22126","23","59.5","[48.6, 73.6]"
"Incidence","Prostate","Thurston","2014-2018","All","Male","All","133035","176","102.8","[95.9, 110.1]"
"Incidence","Prostate","Wahkiakum","2014-2018","All","Male","All","2002","2","39.6","[18.6, 149.7]"
"Incidence","Prostate","Walla Walla","2014-2018","All","Male","All","30713","42","104.1","[90.2, 120.2]"
"Incidence","Prostate","Whatcom","2014-2018","All","Male","All","106084","160","111.6","[103.8, 120.0]"
"Incidence","Prostate","Whitman","2014-2018","All","Male","All","24047","6","29.8","[19.7, 44.8]"
"Incidence","Prostate","Yakima","2014-2018","All","Male","All","125163","107","80.3","[73.5, 87.6]"
"Washington State Cancer Incidence Data: Washington State Department of Health, Washington State Cancer Registry, released in April 2022"
